1,2,3,4,5,6,7,8,9,10,11,12,13,14,centre_pile,player_in_play,dices
95,80,86,91,84,103,92,106,87,103,99,94,86,98,96,6,"['d', 'd', 'R']"
95,80,86,91,83,103,92,106,87,103,99,94,86,98,97,7,"['pd', 'C', 'd']"
95,80,86,91,83,103,92,106,88,103,99,94,86,97,97,8,"['R', 'pd', 'd']"
95,80,86,91,83,103,92,107,87,104,98,94,86,97,97,9,"['R', 'L', 'pd']"
95,80,86,91,83,103,92,107,88,103,98,94,86,97,97,10,"['L', 'd', 'd']"
95,80,86,91,83,103,92,107,88,103,98,94,86,97,97,11,"['d', 'd', 'd']"
95,80,86,91,83,102,91,107,88,103,99,95,86,97,97,12,"['pd', 'pd', 'L']"
95,80,86,91,83,102,91,107,88,103,99,97,83,97,98,13,"['C', 'L', 'L']"
95,80,85,91,83,101,91,107,88,103,99,97,83,99,98,14,"['d', 'pd', 'pd']"
94,80,85,91,83,101,91,107,88,103,99,97,83,99,99,1,"['C', 'd', 'd']"
95,79,85,91,83,101,91,107,88,103,99,97,83,99,99,2,"['d', 'L', 'd']"
95,79,84,91,83,101,91,107,88,103,99,97,83,99,100,3,"['C', 'd', 'd']"
95,79,86,89,83,101,91,107,88,103,99,97,83,99,100,4,"['L', 'd', 'L']"
94,79,86,90,84,101,91,107,88,103,98,97,83,99,100,5,"['L', 'pd', 'pd']"
94,79,86,90,84,98,92,107,88,103,98,97,83,99,102,6,"['C', 'C', 'R']"
94,79,85,90,84,100,91,107,88,103,98,97,83,99,102,7,"['pd', 'L', 'L']"
94,79,85,90,84,100,93,104,88,103,98,97,83,99,103,8,"['L', 'L', 'C']"
94,79,85,90,84,100,93,104,87,104,98,97,83,99,103,9,"['d', 'R', 'd']"
94,79,84,90,84,100,93,104,87,104,98,97,83,99,104,10,"['C', 'd', 'pd']"
94,79,84,90,84,100,93,104,87,104,98,97,83,99,104,11,"['d', 'd', 'd']"
94,79,83,90,84,100,93,104,87,104,99,97,83,99,104,12,"['L', 'd', 'pd']"
94,79,83,90,84,100,93,104,87,104,99,97,82,99,105,13,"['C', 'd', 'd']"
94,79,83,89,84,100,93,104,87,104,99,97,82,99,106,14,"['pd', 'C', 'd']"
92,80,83,89,84,100,93,104,87,104,99,97,82,100,106,1,"['R', 'd', 'L']"
93,80,83,89,84,99,93,104,87,104,99,97,82,100,106,2,"['d', 'L', 'pd']"
93,81,82,89,84,99,93,104,87,104,99,97,82,100,106,3,"['d', 'd', 'L']"
93,81,83,87,85,99,93,104,87,104,99,97,82,100,106,4,"['L', 'R', 'd']"
92,81,83,87,87,99,93,103,87,104,99,97,82,100,106,5,"['pd', 'pd', 'd']"
92,81,83,87,87,100,94,102,87,104,99,96,82,100,106,6,"['pd', 'pd', 'R']"
92,81,81,87,87,100,96,102,87,104,99,96,82,100,106,7,"['pd', 'd', 'pd']"
92,81,81,87,87,100,96,99,87,104,99,96,82,100,109,8,"['C', 'C', 'C']"
92,81,81,87,87,100,96,100,84,105,99,96,82,100,110,9,"['C', 'L', 'R']"
91,81,81,87,87,100,96,100,85,105,99,96,82,100,110,10,"['d', 'pd', 'L']"
91,81,81,87,87,100,96,100,84,106,99,96,82,100,110,11,"['pd', 'L', 'd']"
91,80,81,87,87,100,96,100,84,106,99,96,82,100,111,12,"['pd', 'C', 'd']"
91,80,81,87,87,100,96,100,84,106,99,96,80,100,113,13,"['C', 'C', 'd']"
91,80,81,87,87,100,96,100,84,106,99,96,81,99,113,14,"['d', 'd', 'L']"
88,81,81,87,87,100,96,100,84,106,99,96,81,100,114,1,"['R', 'C', 'L']"
89,80,81,87,87,100,96,100,84,106,99,96,81,100,114,2,"['d', 'd', 'L']"
89,81,79,88,87,100,96,100,84,106,99,96,81,100,114,3,"['R', 'd', 'L']"
89,81,80,85,89,100,96,100,84,106,99,96,81,100,114,4,"['L', 'R', 'R']"
89,81,80,85,90,100,96,100,83,106,99,96,80,100,115,5,"['pd', 'C', 'pd']"
89,81,80,85,91,98,97,100,83,106,99,96,80,100,115,6,"['L', 'd', 'R']"
89,80,80,85,91,98,97,100,83,106,99,96,80,100,116,7,"['C', 'pd', 'd']"
89,79,80,85,91,98,97,99,83,106,99,96,80,100,118,8,"['pd', 'C', 'C']"
89,79,80,85,91,98,97,101,81,106,99,96,80,100,118,9,"['L', 'd', 'L']"
89,78,80,85,90,98,97,101,82,107,99,96,80,100,118,10,"['pd', 'pd', 'L']"
89,78,80,84,90,98,97,101,82,107,100,96,80,100,118,11,"['d', 'pd', 'd']"
89,78,80,84,90,98,97,101,82,107,100,95,80,100,119,12,"['d', 'd', 'C']"
89,78,80,84,90,98,97,101,82,107,100,95,199,100,0,13,"['pd', 'pd', 'pd']"
92,78,80,84,90,98,97,101,82,107,100,95,199,97,0,14,"['R', 'R', 'R']"
91,78,80,84,90,98,97,101,82,107,100,95,199,98,0,1,"['L', 'd', 'd']"
93,76,80,84,90,98,97,101,82,107,100,95,199,98,0,2,"['L', 'L', 'd']"
93,77,78,85,90,98,97,101,82,107,100,95,199,98,0,3,"['d', 'R', 'L']"
93,77,79,83,91,98,97,101,82,107,100,95,199,98,0,4,"['d', 'L', 'R']"
93,77,79,83,91,98,97,101,82,107,100,95,199,98,0,5,"['pd', 'pd', 'pd']"
93,77,79,83,93,95,98,101,82,107,100,95,199,98,0,6,"['L', 'R', 'L']"
93,77,79,83,93,95,95,102,82,107,100,95,199,98,2,7,"['R', 'C', 'C']"
93,77,79,83,92,95,97,101,82,107,100,95,199,98,2,8,"['L', 'L', 'pd']"
93,77,79,83,92,95,97,103,80,107,100,95,199,98,2,9,"['L', 'd', 'L']"
93,77,78,83,92,95,97,103,80,106,100,95,199,98,4,10,"['pd', 'C', 'C']"
93,77,78,83,92,95,97,103,80,106,104,95,199,98,0,11,"['pd', 'pd', 'pd']"
92,77,78,82,92,95,97,103,80,106,104,97,199,98,0,12,"['d', 'pd', 'pd']"
92,77,78,82,92,95,97,103,80,106,104,97,197,99,1,13,"['C', 'R', 'd']"
93,77,78,82,92,95,97,103,80,105,104,97,198,98,1,14,"['pd', 'R', 'L']"
92,77,78,82,92,95,97,103,80,105,104,97,198,98,2,1,"['C', 'd', 'd']"
92,76,78,82,92,95,97,103,80,105,104,97,198,98,3,2,"['d', 'C', 'd']"
92,77,76,83,92,95,97,103,80,105,104,97,198,98,3,3,"['R', 'd', 'L']"
92,77,77,82,93,95,97,103,80,104,104,97,198,98,3,4,"['pd', 'R', 'L']"
92,77,77,82,91,95,97,103,80,104,104,97,198,98,5,5,"['d', 'C', 'C']"
92,77,77,82,92,94,98,103,80,104,104,97,198,97,5,6,"['pd', 'L', 'R']"
92,77,77,82,92,94,96,104,80,104,104,97,198,97,6,7,"['d', 'R', 'C']"
92,77,77,82,92,94,97,102,81,104,104,97,198,97,6,8,"['d', 'R', 'L']"
92,77,77,82,92,94,97,102,80,105,104,97,198,97,6,9,"['d', 'd', 'R']"
92,77,77,82,91,94,97,102,80,105,105,97,198,97,6,10,"['R', 'pd', 'd']"
92,77,77,82,91,94,97,102,80,105,103,99,198,97,6,11,"['d', 'R', 'R']"
92,77,76,82,91,94,97,102,80,105,103,98,199,97,7,12,"['R', 'pd', 'C']"
92,77,76,82,91,94,97,102,80,105,103,99,197,98,7,13,"['d', 'L', 'R']"
92,77,76,82,91,94,97,102,80,104,103,99,198,98,7,14,"['d', 'L', 'pd']"
91,78,76,82,91,94,97,102,80,104,103,99,198,98,7,1,"['R', 'd', 'd']"
91,76,78,82,91,94,97,102,80,104,103,99,198,98,7,2,"['d', 'R', 'R']"
91,76,79,82,91,94,97,102,80,104,102,99,198,98,7,3,"['d', 'd', 'pd']"
91,76,81,80,91,94,97,102,80,104,102,99,198,98,7,4,"['L', 'L', 'd']"
91,76,81,80,92,94,97,102,80,104,102,98,198,98,7,5,"['d', 'pd', 'd']"
91,75,81,80,92,96,97,102,80,104,102,98,197,98,7,6,"['d', 'pd', 'pd']"
91,75,81,80,91,96,98,102,80,104,102,98,197,98,7,7,"['d', 'pd', 'd']"
91,75,81,80,91,96,99,101,80,104,102,98,197,98,7,8,"['d', 'L', 'd']"
91,75,81,80,91,96,99,101,78,104,102,98,197,98,9,9,"['C', 'C', 'd']"
91,75,81,80,91,96,99,101,79,102,102,98,197,98,10,10,"['d', 'C', 'L']"
91,75,81,80,91,96,99,101,79,102,100,100,197,98,10,11,"['R', 'd', 'R']"
91,75,81,80,91,96,99,101,78,102,100,101,197,98,10,12,"['d', 'd', 'pd']"
91,75,81,80,91,96,99,101,78,102,100,101,196,98,11,13,"['d', 'C', 'd']"
92,74,81,80,91,96,99,101,78,102,100,101,196,98,11,14,"['pd', 'd', 'R']"
89,75,81,80,91,96,99,101,78,102,100,101,196,99,12,1,"['C', 'R', 'L']"
89,76,81,80,91,96,99,101,78,102,99,101,196,99,12,2,"['d', 'pd', 'd']"
89,76,82,80,91,96,99,101,78,102,99,101,195,98,13,3,"['pd', 'pd', 'C']"
89,76,82,80,92,96,99,101,77,102,99,101,195,98,13,4,"['R', 'pd', 'd']"
89,76,82,80,92,97,99,101,77,102,99,100,195,98,13,5,"['d', 'R', 'pd']"
89,76,82,80,93,95,99,101,77,102,99,100,195,98,14,6,"['d', 'C', 'L']"
89,76,82,80,93,95,96,102,77,102,99,100,195,98,16,7,"['C', 'R', 'C']"
89,76,82,79,93,95,96,102,78,102,99,100,195,98,16,8,"['d', 'pd', 'R']"
89,76,82,79,93,95,96,102,79,102,99,98,195,98,17,9,"['C', 'pd', 'pd']"
89,76,82,79,93,95,96,102,80,102,99,97,195,98,17,10,"['pd', 'L', 'd']"
89,76,82,79,93,94,96,102,80,104,98,97,195,98,17,11,"['L', 'pd', 'L']"
89,75,82,79,93,94,96,102,80,104,98,97,196,98,17,12,"['R', 'd', 'pd']"
88,75,82,79,93,94,96,102,80,104,98,97,196,98,18,13,"['d', 'pd', 'C']"
89,75,82,79,93,94,96,102,80,104,98,97,197,96,18,14,"['d', 'L', 'R']"
87,76,82,79,93,94,96,102,80,104,98,97,197,96,19,1,"['R', 'C', 'd']"
87,75,82,79,93,94,96,102,80,104,98,97,197,96,20,2,"['C', 'd', 'd']"
87,76,80,79,93,94,96,102,80,104,98,97,197,96,21,3,"['C', 'L', 'd']"
87,76,80,78,94,94,96,102,80,104,98,97,197,95,22,4,"['R', 'pd', 'C']"
87,76,80,78,93,96,95,102,80,104,98,97,197,95,22,5,"['R', 'pd', 'R']"
87,76,80,78,93,94,96,102,80,104,98,97,197,95,23,6,"['R', 'C', 'd']"
87,76,80,78,93,94,93,103,80,104,98,97,197,95,25,7,"['C', 'C', 'R']"
87,76,80,78,93,94,94,101,81,104,98,97,197,95,25,8,"['d', 'L', 'R']"
87,76,80,78,93,94,94,102,78,104,98,97,197,95,27,9,"['C', 'C', 'L']"
87,76,80,78,92,94,94,102,78,104,99,97,197,95,27,10,"['d', 'R', 'pd']"
87,76,80,78,92,94,94,102,78,104,126,97,197,95,0,11,"['pd', 'pd', 'pd']"
87,76,80,78,92,94,94,102,77,104,126,97,197,95,1,12,"['pd', 'C', 'd']"
86,76,80,78,92,94,93,102,77,104,126,97,198,95,2,13,"['C', 'pd', 'pd']"
87,76,80,78,92,94,93,101,77,104,126,97,198,95,2,14,"['d', 'pd', 'R']"
86,76,80,78,92,94,93,101,77,104,126,97,198,96,2,1,"['d', 'd', 'L']"
86,73,82,78,92,94,93,101,77,104,126,97,198,96,3,2,"['R', 'C', 'R']"
86,73,82,78,92,94,93,101,77,104,126,97,198,96,3,3,"['d', 'd', 'd']"
